10,30,60,90,120
"[5225.755123049127, 1257.3966241715073, 698.6789103049683, 2015.228308537762, 10826.285270592474]","[2612.138640777382, 1714.0451765314713, 777.1352575210508, 1365.6119000016581, 8831.436236314039]","[2732.835495355824, 1998.3520036733937, 918.3382196041837, 1732.0651019231323, 8446.97846208178]","[684.5423447402613, 2727.7625243610746, 1015.5703811211565, 1506.9908700492283, 10089.609062800275]","[919.9141158158271, 4067.3545706372443, 1004.5848238848426, 1540.937456962184, 9239.877885794034]"
"[72.28938458065007, 35.45978883427688, 26.43253507147902, 44.8912943513301, 104.04943666638698]","[51.1090856969422, 41.4010286892907, 27.877145792226486, 36.954186501689605, 93.97572152590284]","[52.276529105859964, 44.7029305937921, 30.30409575625354, 41.61808623571166, 91.90744508516043]","[26.163760141467844, 52.227986026277854, 31.868015016959504, 38.819980294292115, 100.44704606308876]","[30.33008598431312, 63.775814935108784, 31.695186131096353, 39.254776231207636, 96.12428353852128]"
"[65.65050727650781, 28.20304504656915, 20.03802676123104, 35.003493753956384, 77.31398835076027]","[44.069963145617415, 30.44763458467534, 21.89651860848357, 27.45319049447319, 61.225286229831035]","[44.98638252001166, 35.33272444602026, 23.246327926895024, 32.73737708152833, 61.59362096858466]","[21.608585629937604, 40.97661054297153, 25.49447346650269, 30.30649446138973, 66.2056080848623]","[24.79208471458178, 49.67676803023739, 23.941295127874632, 30.09999499712074, 63.42225505039874]"
"[0.4286584063358422, 0.9785042159314897, 0.9736428979658128, 0.8916058320330744, 0.8248607529155684]","[0.7164553204232336, 0.9705095753674547, 0.9718498600818237, 0.9247241581731188, 0.8549771476772092]","[0.7054933521680686, 0.9651801626274915, 0.9680819814502517, 0.9022826223127762, 0.8598335864209712]","[0.9284861877468132, 0.9517931547265999, 0.9656363538095596, 0.9149078456237459, 0.8322994378773623]","[0.9061184773542126, 0.927045841307538, 0.9669138271462321, 0.9139063552547663, 0.8458218648842925]"
